date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-02,84,74,94,75,93,66,104,1924,1894,0,0.16,5.43
2014-07-03,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29
2014-07-04,82,72,91,75,93,66,101,1910,2009,0.48,0.15,3.49
2014-07-05,82,73,90,75,93,66,102,1924,2009,0.31,0.16,3.04
2014-07-06,81,72,89,75,93,63,101,1970,2005,0.01,0.15,1.73
2014-07-07,84,74,93,75,93,62,100,1972,1980,0.08,0.15,2.32
2014-07-08,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49
2014-07-09,85,74,95,75,93,64,102,1905,1980,0,0.14,2.39
2014-07-10,83,73,93,75,93,65,101,1893,1980,0,0.14,1.75
2014-07-11,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08
2014-07-12,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19
2014-07-13,87,77,96,75,94,66,102,1895,1980,0,0.13,5.4
2014-07-14,86,76,96,75,94,62,103,1990,1980,0,0.12,2.94
2014-07-15,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32
2014-07-16,82,73,90,75,94,66,104,1895,1980,0,0.12,2.04
2014-07-17,83,76,89,75,94,67,104,1974,1980,0.39,0.1,2.23
2014-07-18,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85
2014-07-19,79,72,85,75,94,68,102,1974,1980,0,0.11,1.51
2014-07-20,83,73,93,75,94,69,102,1970,2000,0.01,0.11,2.08
2014-07-21,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09
2014-07-22,87,77,96,75,94,67,101,1988,2000,0,0.1,2.78
2014-07-23,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-07-26,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35
2014-07-27,87,77,97,75,95,66,101,1902,1995,0,0.1,5.22
2014-07-28,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52
2014-07-29,83,74,92,75,95,64,101,1994,1907,0.03,0.1,4.7
2014-07-30,83,72,94,75,95,68,102,1994,1914,0,0.09,2.11
2014-07-31,84,73,94,75,95,67,103,1936,1998,3.91,0.09,3.91
2014-08-01,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1
2014-08-02,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65
2014-08-03,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77
2014-08-04,83,73,92,75,95,63,102,1976,1951,0,0.11,2.94
2014-08-05,83,74,92,75,95,64,103,1976,1964,0,0.1,2.81
2014-08-06,85,75,94,75,95,64,101,1891,1947,0,0.11,1.2
2014-08-07,87,79,95,75,95,63,104,1891,2003,0,0.11,2.61
2014-08-08,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66
2014-08-09,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83
2014-08-10,86,78,94,75,95,62,104,1989,1962,0,0.11,2.88
2014-08-11,86,75,97,75,95,65,102,1989,2011,0.25,0.1,2.72
2014-08-12,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41
2014-08-13,84,73,94,75,95,64,104,2004,1962,0,0.11,1.82
2014-08-14,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8
2014-08-15,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74
